name,dataset,model,fitness,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),preprocess,inference,loss,postprocess,speed
202412161652_train_yolo11l-EIEStem_sample_epochs500,sample,val_last,0.7184923814155543,0.9862299890530922,0.6887437583447167,0.9771205989079448,0.9643346270037255,0.1353880938361673,6.296389243182014,0.0007348902085248162,1.1791649986715877,7.611677225898294
202412030246_train_yolo11s-FeaturePyramidSharedConv_sample_epochs500,sample,val_best,0.7113689258929963,0.9838360233070742,0.6810948039580987,0.9763193448543304,0.9502090329185554,0.094300157883588,2.9082115958718693,0.0012439839980181527,0.9846631218405331,3.9884188595940087
202412030246_train_yolo11s-FeaturePyramidSharedConv_sample_epochs500,sample,val_last,0.7060552852571229,0.9898788888888885,0.6745193292980378,0.9729953350965548,0.9711825677076839,0.09578115799847771,2.4341414956485523,0.0014795976526596967,1.0860962026259477,3.617498453925637
202411161329_train_yolo11s-C3k2-SCConv_complete_epochs500,complete,val_best,0.7625168023196129,0.9828567067406184,0.7380345907172791,0.9669118486852125,0.9718792511078209,0.13965796090100513,1.4903214001017475,0.0007392571210281111,1.250678895453757,2.8813975135775376
202411161329_train_yolo11s-C3k2-SCConv_complete_epochs500,complete,val_last,0.7297093640017221,0.9787615982656587,0.7020368935279514,0.9730448332386825,0.9678447608991954,0.12801932012367712,1.288779678135893,0.0008143067649971249,0.703886840175248,2.121500145199815
202412070041_train_yolo11m-C3k2-MutilScaleEdgeInformationSelect_sample_epochs500,sample,val_best,0.7034921695887935,0.9808013917653225,0.6726800337914013,0.9419303269026038,0.9579167270065602,0.06953267490162568,6.076881464789895,0.000726475435144761,0.7104284623089959,6.857569077435661
202412070041_train_yolo11m-C3k2-MutilScaleEdgeInformationSelect_sample_epochs500,sample,val_last,0.704948873144167,0.986765294348398,0.6736359374548079,0.9854822317607428,0.9507536979796162,0.06998146281522863,6.487728567684398,0.000733487746294807,0.5827174467198989,7.14116096496582
202412181514_train_yolo11x-C3k2-Faster_sample_epochs500,sample,val_best,0.7198106794589642,0.9893533026819921,0.6898614991008499,0.9691516653770409,0.9776207624455915,0.1223283655503217,6.7369685453527115,0.010165046243106617,1.1031220940982593,7.9725840512444
202412181514_train_yolo11x-C3k2-Faster_sample_epochs500,sample,val_last,0.7161248615574903,0.9874705090311984,0.6859753451715227,0.9763752236053886,0.9595103732776228,0.13242469114415784,5.9929216609281655,0.007131520439596737,1.217046905966366,7.349524778478286
202412141351_train_yolo11n-ASF-P2_sample_epochs500,sample,val_best,0.7040505865324637,0.9832727830687829,0.6730258980284282,0.9725543926645371,0.9540548350321493,0.5193626179414638,6.799122866462259,0.0014613656436695773,5.565633493311265,12.885580343358658
202412141351_train_yolo11n-ASF-P2_sample_epochs500,sample,val_last,0.7030469723687162,0.9794716296296293,0.672333121561948,0.9727225241561992,0.9258562705905659,0.4376060822430779,3.810722687665154,0.0013379489674287682,5.291585361256319,9.54125208013198
202412091937_train_yolo11m-C3k2-EMSC_sample_epochs500,sample,val_best,0.7218609616034258,0.9860409190133732,0.6925076330023205,0.9459369031732073,0.9564203726368714,0.1347205218146829,3.5976844675400677,0.01073444590849035,1.0713955935309913,4.814535028794232
202412091937_train_yolo11m-C3k2-EMSC_sample_epochs500,sample,val_last,0.7163085088336172,0.9873530701754383,0.6861924464623037,0.9756386253753521,0.9558356894093154,0.15853994032915902,3.4468216054579788,0.0007839763865751378,1.2917111901675953,4.897856712341309
202412042217_train_yolo11n-C2CGA_sample_epochs500,sample,val_best,0.7032616817948111,0.979264668796661,0.6725946832390499,0.9652507113133189,0.9582202791555771,0.6864673951092889,2.1118318333345303,0.0007573296042049632,6.990633291356704,9.789689849404727
202412042217_train_yolo11n-C2CGA_sample_epochs500,sample,val_last,0.6853543371207038,0.975552255779539,0.6531101239363888,0.9513987559094411,0.9540227251758098,0.5027069764978745,1.3227574965533089,0.0007152557373046875,7.259917259216309,9.086096988004797
202411201447_train_yolo11s-WaveletPool_sample_epochs500,sample,val_best,0.721626712249861,0.9807712168162585,0.6928328784091501,0.9831647955058319,0.9488949429377925,1.4673836090985466,4.149822627796847,0.0014908173504997702,9.140487278209012,14.759184332454904
202411201447_train_yolo11s-WaveletPool_sample_epochs500,sample,val_last,0.6952959800216827,0.9788447390191506,0.6637905623552973,0.9817755449976366,0.9574698257627209,1.1267970590030445,2.4854113073909985,0.0038806129904354323,6.60242333131678,10.218512310701259
202412151601_train_yolo11x-FDPN-DASI_sample_epochs500,sample,val_best,0.7018415583582202,0.982219398762157,0.6706884649800049,0.9776190807817493,0.9565467851604615,0.19281190984389363,14.823619057150447,0.0007152557373046875,1.4321088790893555,16.449255101821002
