Uuid,Aid,Devid,Roomid,Date,Roomtype,Devtype,Initpower,Initusually,Initpeak,Initvalley,Inittip,Lastpower,Lastusually,Lastpeak,Lastvalley,Lasttip,Apportion,Price,Pricepeak,Pricevalley,Pricetip,Watermoney,Waterpower,Usually,Tip,Peak,Valley,Allpower,ApportionMoney,Allmoney,Status,Mark,Apportions,Ltime,Expand,Adduid,Lastuid,Addtime,Lasttime
66ccb24f23ca974f8187c834,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-08-27,1,64,3420.51,0,0,0,0,3431.72,0,0,0,0,0,1.3,0,0,0,4.5,3.4615,0,0,0,0,14.6715,0,23.573,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.09, 'Money': 4.5, 'Power': 0}]",2024-08-27T23:51:23.746+08:00,,000000000000000000000000,000000000000000000000000,2024-08-27T00:50:23.691+08:00,2024-08-27T00:50:23.691+08:00
66cb612423ca974f817958ad,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-08-26,1,64,3405.5,0,0,0,0,3420.51,0,0,0,0,0,1.3,0,0,0,4.0,3.0769,0,0,0,0,18.0869,0,27.513,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.08, 'Money': 4, 'Power': 0}]",2024-08-26T23:50:05.236+08:00,,000000000000000000000000,000000000000000000000000,2024-08-26T00:51:48.616+08:00,2024-08-26T00:51:48.616+08:00
66ca0b0b23ca971c785b28c9,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-08-25,1,64,3392.58,0,0,0,0,3405.5,0,0,0,0,0,1.3,0,0,0,3.0,2.3077,0,0,0,0,15.2277,0,22.796,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.06, 'Money': 3, 'Power': 0}]",2024-08-25T23:51:30.929+08:00,,000000000000000000000000,000000000000000000000000,2024-08-25T00:32:11.508+08:00,2024-08-25T00:32:11.508+08:00
66c8be7023ca971c7850ee7f,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-08-24,1,64,3377.61,0,0,0,0,3392.58,0,0,0,0,0,1.3,0,0,0,4.0,3.0769,0,0,0,0,18.0469,0,27.461,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.08, 'Money': 4, 'Power': 0}]",2024-08-24T23:31:53.935+08:00,,000000000000000000000000,000000000000000000000000,2024-08-24T00:53:04.418+08:00,2024-08-24T00:53:04.418+08:00
66c769cd23ca971c783fd52a,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-08-23,1,64,3366.76,0,0,0,0,3377.61,0,0,0,0,0,1.3,0,0,0,2.0,1.5385,0,0,0,0,12.3885,0,18.1051,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.04, 'Money': 2, 'Power': 0}]",2024-08-23T23:52:46.593+08:00,,000000000000000000000000,000000000000000000000000,2024-08-23T00:39:41.444+08:00,2024-08-23T00:39:41.444+08:00
66c61a0423ca971c7832ef47,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-08-22,1,64,3356.58,0,0,0,0,3366.76,0,0,0,0,0,1.3,0,0,0,8.5,6.5385,0,0,0,0,16.7185,0,30.2341,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.17, 'Money': 8.5, 'Power': 0}]",2024-08-22T23:45:09.299+08:00,,000000000000000000000000,000000000000000000000000,2024-08-22T00:47:00.227+08:00,2024-08-22T00:47:00.227+08:00
66c4c91223ca971c7824ff4b,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-08-21,1,64,3346.31,0,0,0,0,3356.58,0,0,0,0,0,1.3,0,0,0,1.5,1.1538,0,0,0,0,11.4238,0,16.3509,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.03, 'Money': 1.5, 'Power': 0}]",2024-08-21T23:46:43.037+08:00,,000000000000000000000000,000000000000000000000000,2024-08-21T00:49:22.227+08:00,2024-08-21T00:49:22.227+08:00
66c3799723ca971c78182f02,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-08-20,1,64,3331.02,0,0,0,0,3346.31,0,0,0,0,0,1.3,0,0,0,13.5,10.3846,0,0,0,0,25.6746,0,46.877,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.27, 'Money': 13.5, 'Power': 0}]",2024-08-20T23:49:05.381+08:00,,000000000000000000000000,000000000000000000000000,2024-08-20T00:57:59.027+08:00,2024-08-20T00:57:59.027+08:00
66c223ce23ca971c78067e52,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-08-19,1,64,3325.62,0,0,0,0,3331.02,0,0,0,0,0,1.3,0,0,0,0.0,0.0,0,0,0,0,5.4,0,7.02,0,,[],2024-08-19T23:57:41.566+08:00,,000000000000000000000000,000000000000000000000000,2024-08-19T00:39:42.729+08:00,2024-08-19T00:39:42.729+08:00
66c0d46023ca971c78f9e794,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-08-18,1,64,3323.12,0,0,0,0,3325.62,0,0,0,0,0,1.3,0,0,0,0.0,0.0,0,0,0,0,2.5,0,3.25,0,,[],2024-08-18T23:50:54.247+08:00,,000000000000000000000000,000000000000000000000000,2024-08-18T00:48:32.215+08:00,2024-08-18T00:48:32.215+08:00
66bf822c23ca971c78eb0701,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-08-17,1,64,3320.62,0,0,0,0,3323.12,0,0,0,0,0,1.3,0,0,0,0.0,0.0,0,0,0,0,2.5,0,3.25,0,,[],2024-08-17T23:48:14.903+08:00,,000000000000000000000000,000000000000000000000000,2024-08-17T00:45:32.558+08:00,2024-08-17T00:45:32.558+08:00
66be32a523ca971c78de5c9a,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-08-16,1,64,3318.0,0,0,0,0,3320.62,0,0,0,0,0,1.3,0,0,0,0.0,0.0,0,0,0,0,2.62,0,3.406,0,,[],2024-08-16T23:45:15.679+08:00,,000000000000000000000000,000000000000000000000000,2024-08-16T00:53:57.523+08:00,2024-08-16T00:53:57.523+08:00
66bcde3823ca971c78cd6447,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-08-15,1,64,3315.18,0,0,0,0,3318.0,0,0,0,0,0,1.3,0,0,0,0.0,0.0,0,0,0,0,2.82,0,3.666,0,,[],2024-08-15T23:53:40.936+08:00,,000000000000000000000000,000000000000000000000000,2024-08-15T00:41:28.424+08:00,2024-08-15T00:41:28.424+08:00
